"","CVE_OPC","SEXO","gen_demanda","OFERTA","caben","dif"
"1","S054000","H",334,315,"sortea",-19
"2","S054000","M",401,315,"sortea",-86
"3","S132302","H",205,151,"sortea",-54
"4","S132302","M",150,151,"asigna",1
"5","S132313","H",175,200,"asigna",25
"6","S132313","M",458,200,"sortea",-258
"7","S134306","H",55,40,"sortea",-15
"8","S134306","M",36,41,"asigna",5
"9","S134311","H",80,42,"sortea",-38
"10","S134311","M",12,43,"asigna",31
"11","S134313","H",161,141,"sortea",-20
"12","S134313","M",446,142,"sortea",-304
"13","S150340","H",88,47,"sortea",-41
"14","S150340","M",9,47,"asigna",38
"15","S452069","H",11,30,"asigna",19
"16","S452069","M",52,30,"sortea",-22
"17","S456036","H",40,27,"sortea",-13
"18","S456036","M",48,28,"sortea",-20
"19","S456076","H",114,55,"sortea",-59
"20","S456076","M",15,55,"asigna",40
"21","S458044","H",93,105,"asigna",12
"22","S458044","M",205,105,"sortea",-100
"23","S463070","H",72,30,"sortea",-42
"24","S463070","M",61,30,"sortea",-31
"25","S464044","H",67,122,"asigna",55
"26","S464044","M",216,123,"sortea",-93
"27","S467092","H",61,27,"sortea",-34
"28","S467092","M",14,28,"asigna",14
"29","S473044","H",81,87,"asigna",6
"30","S473044","M",226,88,"sortea",-138
"31","S477035","H",62,90,"asigna",28
"32","S477035","M",175,90,"sortea",-85
"33","S477039","H",79,60,"sortea",-19
"34","S477039","M",72,60,"sortea",-12
"35","S477046","H",139,90,"sortea",-49
"36","S477046","M",61,90,"asigna",29
"37","S477070","H",144,55,"sortea",-89
"38","S477070","M",166,55,"sortea",-111
"39","S554013","H",65,45,"sortea",-20
"40","S554013","M",58,45,"sortea",-13
"41","S555092","H",67,22,"sortea",-45
"42","S555092","M",14,23,"asigna",9
"43","S557087","H",29,22,"sortea",-7
"44","S557087","M",20,23,"asigna",3
"45","S557094","H",49,22,"sortea",-27
"46","S557094","M",37,23,"sortea",-14
"47","S567060","H",107,45,"sortea",-62
"48","S567060","M",46,45,"sortea",-1
"49","S567087","H",69,45,"sortea",-24
"50","S567087","M",39,45,"asigna",6
"51","S571086","H",50,45,"sortea",-5
"52","S571086","M",46,45,"sortea",-1
"53","S573013","H",137,112,"sortea",-25
"54","S573013","M",208,113,"sortea",-95
"55","S573087","H",127,67,"sortea",-60
"56","S573087","M",58,68,"asigna",10
"57","S574015","H",163,65,"sortea",-98
"58","S574015","M",74,65,"sortea",-9
"59","S574087","H",240,190,"sortea",-50
"60","S574087","M",268,190,"sortea",-78
"61","S575020","H",84,45,"sortea",-39
"62","S575020","M",190,45,"sortea",-145
"63","S575094","H",166,45,"sortea",-121
"64","S575094","M",160,45,"sortea",-115
"65","S705000","H",157,150,"sortea",-7
"66","S705000","M",272,150,"sortea",-122
"67","S709000","H",45,75,"asigna",30
"68","S709000","M",107,75,"sortea",-32
"69","S711000","H",325,107,"sortea",-218
"70","S711000","M",351,108,"sortea",-243
"71","S715000","H",462,175,"sortea",-287
"72","S715000","M",643,175,"sortea",-468
"73","S724000","H",404,250,"sortea",-154
"74","S724000","M",561,250,"sortea",-311
"75","S763000","H",194,150,"sortea",-44
"76","S763000","M",343,150,"sortea",-193
"77","S805000","H",172,200,"asigna",28
"78","S805000","M",273,200,"sortea",-73
"79","S825000","H",309,325,"asigna",16
"80","S825000","M",342,325,"sortea",-17
"81","S846000","H",120,100,"sortea",-20
"82","S846000","M",174,100,"sortea",-74
