"","CVE_OPC","SEXO","OFERTA"
"1","S054000","H",315
"2","S054000","M",315
"3","S132302","H",151
"4","S132302","M",151
"5","S132313","H",200
"6","S132313","M",200
"7","S134306","H",40
"8","S134306","M",41
"9","S134311","H",42
"10","S134311","M",43
"11","S134313","H",141
"12","S134313","M",142
"13","S150340","H",47
"14","S150340","M",47
"15","S452069","H",30
"16","S452069","M",30
"17","S456036","H",27
"18","S456036","M",28
"19","S456076","H",55
"20","S456076","M",55
"21","S458044","H",105
"22","S458044","M",105
"23","S463070","H",30
"24","S463070","M",30
"25","S464044","H",122
"26","S464044","M",123
"27","S467092","H",27
"28","S467092","M",28
"29","S473044","H",87
"30","S473044","M",88
"31","S477035","H",90
"32","S477035","M",90
"33","S477039","H",60
"34","S477039","M",60
"35","S477046","H",90
"36","S477046","M",90
"37","S477070","H",55
"38","S477070","M",55
"39","S554013","H",45
"40","S554013","M",45
"41","S555092","H",22
"42","S555092","M",23
"43","S557087","H",22
"44","S557087","M",23
"45","S557094","H",22
"46","S557094","M",23
"47","S567060","H",45
"48","S567060","M",45
"49","S567087","H",45
"50","S567087","M",45
"51","S571086","H",45
"52","S571086","M",45
"53","S573013","H",112
"54","S573013","M",113
"55","S573087","H",67
"56","S573087","M",68
"57","S574015","H",65
"58","S574015","M",65
"59","S574087","H",190
"60","S574087","M",190
"61","S575020","H",45
"62","S575020","M",45
"63","S575094","H",45
"64","S575094","M",45
"65","S705000","H",150
"66","S705000","M",150
"67","S709000","H",75
"68","S709000","M",75
"69","S711000","H",107
"70","S711000","M",108
"71","S715000","H",175
"72","S715000","M",175
"73","S724000","H",250
"74","S724000","M",250
"75","S763000","H",150
"76","S763000","M",150
"77","S805000","H",200
"78","S805000","M",200
"79","S825000","H",325
"80","S825000","M",325
"81","S846000","H",100
"82","S846000","M",100
